Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,160.449997,160.449997,157.899994,158.600006,142.224182,790271
2016-12-02,158.300003,159.250000,156.850006,158.850006,142.448395,466687
2016-12-05,158.949997,161.649994,158.600006,159.100006,142.672577,478283
2016-12-06,159.500000,161.250000,158.449997,160.800003,144.197037,532378
2016-12-07,162.949997,163.100006,161.100006,162.149994,145.407639,680818
2016-12-08,163.149994,163.649994,161.649994,162.600006,145.811172,588326
2016-12-09,162.949997,168.399994,162.699997,167.199997,149.936218,901391
2016-12-12,166.899994,167.250000,165.399994,166.250000,149.084305,612124
2016-12-13,166.300003,168.449997,165.949997,168.050003,150.698441,659906
2016-12-14,167.300003,169.050003,165.649994,168.250000,150.877777,533478
2016-12-15,168.199997,169.699997,165.649994,167.850006,150.519119,818604
2016-12-16,167.800003,170.000000,167.050003,169.100006,151.640045,1333913
2016-12-19,169.149994,170.000000,168.600006,170.000000,152.447113,484303
2016-12-20,170.000000,171.000000,169.449997,170.899994,153.254181,503490
2016-12-21,170.649994,171.250000,169.600006,170.550003,152.940308,428896
2016-12-22,170.250000,171.500000,169.699997,171.500000,153.792221,331224
2016-12-23,171.699997,173.100006,171.300003,172.550003,154.733826,348012
2016-12-27,172.199997,172.899994,172.050003,172.699997,154.868347,179876
2016-12-28,172.149994,172.800003,171.399994,172.399994,154.599319,367579
2016-12-29,171.899994,172.949997,171.699997,172.600006,154.778656,256725
2016-12-30,172.850006,173.399994,171.699997,173.399994,155.496063,410465
2017-01-02,172.649994,173.600006,171.949997,173.449997,155.540878,165897
2017-01-03,173.949997,174.000000,170.149994,170.149994,152.581619,690394
2017-01-04,170.750000,170.750000,169.149994,169.850006,152.312622,594894
2017-01-05,169.649994,170.300003,168.449997,170.300003,152.716141,440092
2017-01-06,170.000000,170.250000,168.899994,170.250000,152.671310,482102
2017-01-09,170.699997,171.649994,169.399994,171.350006,153.657745,344763
2017-01-10,171.649994,172.550003,169.699997,171.050003,153.388718,419500
2017-01-11,173.000000,173.350006,170.399994,171.850006,154.106094,547265
2017-01-12,171.350006,171.500000,170.050003,170.399994,152.805817,542769
2017-01-13,170.649994,171.449997,170.250000,171.449997,153.747406,790644
2017-01-16,170.000000,171.750000,169.699997,170.800003,153.164505,445578
2017-01-17,170.550003,170.699997,169.050003,169.600006,152.088409,673821
2017-01-18,170.649994,171.350006,169.050003,169.550003,152.043579,502085
2017-01-19,170.000000,170.699997,168.899994,170.500000,152.895493,650960
2017-01-20,170.550003,171.350006,169.199997,170.050003,152.491959,743067
2017-01-23,169.699997,171.449997,168.850006,171.149994,153.478363,555723
2017-01-24,171.000000,171.899994,170.449997,171.300003,153.612869,489465
2017-01-25,172.000000,172.750000,171.399994,171.550003,153.837067,464029
2017-01-26,171.949997,171.949997,170.449997,171.300003,153.612869,543734
2017-01-27,171.850006,172.149994,171.149994,171.300003,153.612869,442644
